funding_time_ms,funding_time,funding_rate
1609459200022,2021-01-01T00:00:00.022000+00:00,7.523e-05
1609488000004,2021-01-01T08:00:00.004000+00:00,0.0001
1609516800002,2021-01-01T16:00:00.002000+00:00,0.0001
1609545600000,2021-01-02T00:00:00+00:00,0.0001
1609574400012,2021-01-02T08:00:00.012000+00:00,0.0001
1609603200004,2021-01-02T16:00:00.004000+00:00,0.00114477
1609632000015,2021-01-03T00:00:00.015000+00:00,0.00157284
1609660800001,2021-01-03T08:00:00.001000+00:00,0.00093614
1609689600006,2021-01-03T16:00:00.006000+00:00,0.00101544
1609718400000,2021-01-04T00:00:00+00:00,0.00047982
1609747200009,2021-01-04T08:00:00.009000+00:00,0.00149214
1609776000000,2021-01-04T16:00:00+00:00,0.0001
1609804800000,2021-01-05T00:00:00+00:00,0.00036221
1609833600005,2021-01-05T08:00:00.005000+00:00,0.0001
1609862400003,2021-01-05T16:00:00.003000+00:00,0.0001
1609891200009,2021-01-06T00:00:00.009000+00:00,0.00080408
1609920000000,2021-01-06T08:00:00+00:00,0.001694
1609948800000,2021-01-06T16:00:00+00:00,0.00082554
1609977600007,2021-01-07T00:00:00.007000+00:00,0.0001
1610006400000,2021-01-07T08:00:00+00:00,0.00076674
1610035200000,2021-01-07T16:00:00+00:00,0.00048902
1610064000001,2021-01-08T00:00:00.001000+00:00,0.0010193
1610092800000,2021-01-08T08:00:00+00:00,0.00021877
1610121600013,2021-01-08T16:00:00.013000+00:00,0.00161712
1610150400013,2021-01-09T00:00:00.013000+00:00,0.0001
1610179200004,2021-01-09T08:00:00.004000+00:00,0.0001
1610208000000,2021-01-09T16:00:00+00:00,0.00013067
1610236800001,2021-01-10T00:00:00.001000+00:00,0.0005794
1610265600000,2021-01-10T08:00:00+00:00,0.00099539
1610294400000,2021-01-10T16:00:00+00:00,0.0001
1610323200001,2021-01-11T00:00:00.001000+00:00,0.00045091
1610352000002,2021-01-11T08:00:00.002000+00:00,0.0015915
1610380800006,2021-01-11T16:00:00.006000+00:00,0.00099102
1610409600000,2021-01-12T00:00:00+00:00,0.0001
1610438400001,2021-01-12T08:00:00.001000+00:00,0.00033542
1610467200000,2021-01-12T16:00:00+00:00,0.00041538
1610496000001,2021-01-13T00:00:00.001000+00:00,0.00014678
1610524800000,2021-01-13T08:00:00+00:00,0.0001
1610553600000,2021-01-13T16:00:00+00:00,0.00042781
1610582400002,2021-01-14T00:00:00.002000+00:00,0.00015271
1610611200005,2021-01-14T08:00:00.005000+00:00,0.00061975
